review_user_id,review_user_name,num_reviews,unique_municipalities,num_responses
100761017229872623295,R Painter (paintervision),47,34,8
108381609537697399047,Doug Kepner,40,28,6
103811505687982530294,darren alexander,18,15,1
108974402442719254551,miseryremains,17,9,4
110810458309792523746,David Tran,17,6,4
110738454186479599315,Katie Wisdom,17,14,3
111468092806224451086,Travis Himes,16,15,2
103181905061040953546,CC Da'Man,15,14,1
111295982738784490568,Dean Connell,15,13,2
112415617591068643733,Melissa O'Toole,14,13,2
106227678461594573330,Jeremy Fultz,14,12,2
108403622854967389100,W K,14,12,3
109117509950607308013,Matt Simmons,13,10,3
118221940516796204862,Rich Wildrick,13,11,2
103520104301864359485,Bill Merlavage,13,12,1
108074224926082943504,Evolution Payroll Services,13,10,0
117937899290079184387,Linda DeHaven,13,9,0
106622964912666123919,Joshua Meyers,12,11,0
104419138177324769016,Kyle Milbrand,12,11,3
108345855296987422442,Rhonda Shindle,12,9,2
110395021087446593067,Morgan Evans,12,9,1
114973457516502136883,Stephen Cook,12,12,1
108509344684411008133,C N,12,10,1
111858171565144353868,B G,12,11,1
105871041184979776854,Jay Foster,12,10,4
111954433769496203876,Ric Ravier,11,8,1
111690041722060756854,Rian Grut,11,9,1
110312252331284955446,Tim Brown,11,11,2
104516560794803286063,Josh Reddinger,11,9,3
100746254940363316877,James Winters,11,11,0
112592535229501730320,Andy F,11,8,1
113789213088674838089,Rob Stahl,11,5,1
103142924177921835667,Trevor Roy,11,8,0
112120165753275457318,Zac Coleman,11,9,0
101191685476677809259,David Johnson,11,10,0
109885385525954079105,Alan Crider,11,7,0
110099086516001216659,Eric Rozecki,10,10,0
108139226035084956879,Matt Lamas,10,10,0
102218121431232289622,R B,10,6,2
114166063250660436523,Mike Basile,10,10,0
103815847456375566508,Timothy Cronin,10,9,0
107775540377885574564,Clarence Reber III,10,8,0
108641210068052455362,Gus Last,10,8,1
110388416143795677381,Michael Pollack,10,8,0
101636907185523076204,Mitchel Koffel,10,8,0
117019261000247576385,Andrew Joos,10,9,0
101224441653097465726,Dave Romanyshyn,10,8,1
116830123763523742949,John Costello,10,8,0
107931163640348888481,Ike King,10,8,1
103057714075573061488,Joel Strohecker,10,10,1
104728159813995912718,Bill Kynett,10,8,0
105557898141516290945,bill fausnet,10,5,1
108433113219836538699,Jeff Miller,10,7,1
108592658633286654166,Will Frank,10,9,2
109968628603784534230,Joe Head65,10,7,1
103327854991614099391,Thomas Hughes,10,8,1
113560689417178980716,Andy Cook,10,3,0
109821320187004750516,Tim Wiley,10,9,1
112963398931735394689,Jeffrey Miller,10,8,1
116212486766283609631,Wayne Border,9,8,1
103419305647710444003,Karen Irwin,9,8,2
104982114088157653524,Laurie Gamble,9,8,0
111970642108447158924,Kyle Krisch,9,7,1
106145510987527986050,john jensen,9,7,1
109535024826376486273,Manuel S,9,6,0
114483521247606162356,John Murray,9,8,3
115508447445699086993,Katharine Larkin,9,6,0
111666256604337698392,George Taylor,9,8,0
103758744484822756445,Wendy Bastian,9,8,2
113652089835383784964,chandraa ckerson,9,5,1
116114752661332751332,Chris Minnich,9,7,0
102324541012753177119,Samantha Winterburn,9,2,0
116356589345507255449,Rachael Metzger,9,7,0
111315298232302329119,Cory H,9,6,2
103189145143320044905,Dan Hoon,9,7,1
116082915436162146280,Kevin Ganz,9,6,1
105245252211225979101,Rich Tracy,9,9,1
108403027783717083752,Paul Karmilowicz,9,9,0
114782652753789053099,Ed Fink,9,3,0
114794659455729260246,Gregory Martin,9,8,0
108959514064659942157,Alex Yost,9,7,2
104634545860797139036,Joshua Latshaw,9,7,1
113162855477759325287,Michael “Petey” Karabin,9,9,2
111483654165887377084,Daniel Pike,9,8,1
112756069479272885976,Adam Peterson,9,6,1
111276992517152100736,Jeff Lehman,8,6,0
110848769723443571541,Tom Catanzano,8,3,1
100078708233247721027,Chris Coho,8,7,1
104950999461024371035,Derek Rabold,8,7,0
106228879677005134591,David Burtner,8,7,0
117644189127257390859,Romain Basset,8,4,0
108980086792700711804,Seth Lengel,8,7,1
102283054719790811425,Carly Robinson,8,7,0
108509849537847765119,Amy Wilson,8,5,0
105056361657160613429,Sarah Marie,8,5,0
108734152096492645567,Dan Lowy,8,7,3
116713558273656490642,Max Campbell,8,5,0
116389324194833671779,Michael Sadowski,8,7,2
116022846587020801989,David Graves,8,6,2
115458170556016910068,alex D-B,8,3,0
115086654089366933271,Michael Miller,8,7,0
115071698417160932972,Zachary Herb,8,5,2
100754029466116830374,Mitch Mull,8,6,0
114786032463153875396,Tom Shindle,8,8,3
107322358620476051321,David Stephenson,8,4,1
114361583124228936588,Michael Kane,8,7,0
103956506724494436850,Tim Y,8,8,3
114178893421648728821,Aimee Robidoux,8,5,3
103404596963237505210,Joshua CruverKibi,8,8,2
104931331105750711353,Casey W,8,7,1
114373913360712151378,Emery Olcott,8,6,1
101790043443530353887,Jesse Graves,8,8,0
102642070086795977411,Stephen Vujevich,8,7,0
102308568550787238733,Jason Zimmerman,8,5,2
108311529465749367086,Shaun Sullivan,8,7,1
103008963082975341976,Andrij Harasewych,8,3,0
104796813219156452460,Kevin Tustin,8,4,2
113035195714389391764,Dana Foust,8,7,1
100058880837437210264,Kevin Gonzalez,8,7,1
112854806991384517375,Bradley Garrett,8,6,1
100103985025002757061,Jeffrey Leitzel,8,7,0
100450923346831873572,Phil T,8,5,2
106868473739458283373,Stacy Speelhoffer,7,7,1
116924695711433885678,Paul Diaco,7,4,0
115159521232970229310,Keith Barros,7,7,2
110732189190247231543,Bryan Hill,7,6,1
106894912274645009048,Aaron Rosier,7,4,2
107077222475444754846,Matthew Bunn,7,6,0
116639656363638168181,M,7,4,1
108114307597706562624,Leanne M,7,2,0
101588623000476753057,melody laurel,7,6,2
103440037078782323207,David S,7,7,0
110896350673415581685,Deuane Hoffman,7,7,0
116607399615073611237,E. Miller,7,5,0
107884690557730495400,Mike McCallips,7,6,0
111135733007683215310,Tony Olecki,7,7,0
106348190194055267665,Douglas Garipoli II,7,6,2
114654882951220428211,Rich Huber,7,6,1
107225484896234206302,Krista Ziegler,7,7,0
104780349211603015123,Glenn Van Aller,7,7,2
110631457180697704898,J Rife,7,7,3
104732024200333771561,John Miller,7,5,2
111321168813554129138,Pete Bainbridge,7,7,0
100268382202273266231,Kenneth Fletcher,7,7,0
104989959675623909065,Brian Binder,7,6,0
111328833070562937149,Ronald A. Bouvy,7,4,1
100249046407457030360,Chas,7,6,0
116512546107921846423,John Hess,7,6,1
102690699441513991961,Dustin Kauffman,7,6,1
116448047203879610941,David Ali,7,5,0
114167163205168300153,Neal Rerko,7,4,1
101199259870251553562,donato sammartino,7,3,1
116957294560922213311,Julie Henry,7,6,0
117052493983629276178,David Van Benthuysen,7,7,0
111563802462244367290,Christopher Waddell,7,6,1
103938306300789035721,Holly Seibert,7,4,0
114002159994796347523,Cerise Weber,7,5,1
109483984172436016486,Timothy Svirbly,7,7,2
101120475813194210898,Jim McMenamin,7,4,1
102425596128154299149,Kyle Marshall,7,5,1
101421004594941551392,Many Me,7,5,2
113754720742314899998,Peter Babel,7,5,0
117368700429832141513,Bill Duffy,7,6,1
106943698623307913423,Kyle Newlin,7,6,1
109102521987672967118,Deepak Prabhakar,7,3,2
105634224356820419747,Big K-Man,7,7,1
102123389584692416865,Steven Schaffer,7,3,0
117576405126171429390,Wes F,7,7,3
109913438774166849893,Gus Lucas,7,5,0
116247002022619010291,Richard Jennings,7,6,0
110759829762530544761,Paul McCullough,7,6,1
117700655043235377968,Kay Bordner,7,6,1
104191364837444641739,Tristan Anderson,7,4,3
113283584125591489213,Thomas Whitehaus,7,6,1
107827796879005657319,Dom Bonanni,7,5,0
104409893071672053231,Julie Beavers,7,6,1
117898517657713949640,Tom Sibley,7,7,0
104924378908954576841,Joseph Timmerman,7,5,0
102711727329447347668,Dave F,7,4,2
115922325783522419103,Jorge Ant,7,7,0
112782406133917512849,Jen Lansberry,7,6,2
118089963138651229140,Tony Donato,7,5,0
112730648930646993414,David S,7,7,4
109643915708428774018,Jon N.,7,4,1
104242470091620626393,Kathy Fracalossi,7,7,2
115588245736665111183,Nicholas Fortes,7,3,0
113305430068806514017,Mazz man,6,4,0
100430292847090213684,Jim Mike,6,4,0
113500154817268373595,mark Posusney,6,6,1
107896398242826798025,Brian Rose,6,6,1
113605961816017216812,Bob Hayward,6,5,1
113721273080830818563,Jason Ksiazewski,6,5,0
113767688195760053752,John Schick,6,6,1
116107348635081614689,DR Stehr,6,5,0
114009386697330208807,Nathan Thomas,6,5,1
107641961273614135049,Robert J Rodgers,6,5,1
101885456960634154376,Holly Friedman Pron,6,5,2
114022872129145479066,Jason Delp,6,5,1
108873878834476445393,Francis DeMuro,6,1,1
106609256237554342189,Mark Hiegl,6,5,0
109092994213702185745,Pieter Ras,6,6,1
114136938770560225365,Patrice Harden,6,5,1
114423732787006111338,Eric Strohm,6,6,0
109003186734930151774,DABU KU,6,6,1
114433687734622662407,Jake L.,6,6,0
114540540140565690291,William Illingworth,6,4,1
114695818042927789827,Patrick Burke,6,4,2
114934003998986601320,Gabe L,6,5,1
115000632447225290437,john m. muller,6,6,1
115018077729196640879,katharine drumm,6,6,0
104255559073045389463,Jerry Saussol,6,5,2
115121598393295568800,sandie c,6,4,1
115196447277390899192,Billy Peene,6,4,0
115262450755722412778,Michael Glass,6,5,0
115434710560342350034,Andrew Toland,6,6,0
115705113845562849450,Art Carlson,6,5,0
105919684019400981824,Mike Ruggles,6,6,0
115807254816154070291,Lenny K,6,5,0
115861435829529889647,Alan Murdoch,6,6,1
116172579254962245091,Matt Kerper,6,4,0
116275239630487573305,PhillyBite Magazine,6,4,0
116682353305507905349,Derrick Vidal,6,4,0
116733827656747218848,Brian Slocum,6,4,0
116753419019229973042,Laura Mursch,6,5,0
116842367373999252038,Celeste Allen,6,5,1
102672659402945388020,Chuong Pham,6,4,1
106353461984443015456,Nada Quever,6,4,1
116900416517721429976,Robert Schlatter,6,2,1
117161265194161802005,Chris OShea,6,6,0
117324731075320789716,Bill D.,6,5,0
117366624889497724394,John Santamaria,6,5,0
117376543376903141027,Nick Brozek,6,4,0
117454911176232332464,Sean Lacerte,6,6,2
